!_OSCILLOSCOPE PARAMETERS_
!
	!_CHANNEL SETTINGS_
	!Position: 
	!CH1:0.0000
	!Scale:
 	!CH1:50.0000E-3
	!Bandwidth:
	!CH1:33.0000E+9
	!_END CHANNEL SETTINGS_
!
	!_HORIZONTAL SCALE_
	!Sampling Frequency: 125.0000E+6
	!Epoch: 500
	!_END HORIZONTAL SCALE_
!
	!_TRIGGER_
 	!Source: CH1
	!Level: -3.0000E-3
	!Slope: RIS
	!Coupling: DC
	!_END TRIGGER_
!
 	!_MODE_
	!Sampling Mode: IT
	!Acquisition Mode: SAM
	!_END MODE_
!
	!_DATA_
	!Number of Averages: 16
	_END DATA_
	!
!_END OSCILLOSCOPE PARAMETERS_
 
BEGIN SCOPE
% time(real)	ch1(real)
8.000000E-9	-0.156000
1.600000E-8	-0.160000
2.400000E-8	-0.160000
3.200000E-8	-0.154000
4.000000E-8	-0.154000
4.800000E-8	-0.154000
5.600000E-8	-0.154000
6.400000E-8	-0.154000
7.200000E-8	-0.156000
8.000000E-8	-0.150000
8.800000E-8	-0.160000
9.600000E-8	-0.160000
1.040000E-7	-0.160000
1.120000E-7	-0.156000
1.200000E-7	-0.156000
1.280000E-7	-0.154000
1.360000E-7	-0.154000
1.440000E-7	-0.166000
1.520000E-7	-0.160000
1.600000E-7	-0.158000
1.680000E-7	-0.156000
1.760000E-7	-0.156000
1.840000E-7	-0.158000
1.920000E-7	-0.156000
2.000000E-7	-0.156000
2.080000E-7	-0.154000
2.160000E-7	-0.158000
2.240000E-7	-0.158000
2.320000E-7	-0.160000
2.400000E-7	-0.152000
2.480000E-7	-0.158000
2.560000E-7	-0.158000
2.640000E-7	-0.154000
2.720000E-7	-0.154000
2.800000E-7	-0.160000
2.880000E-7	-0.162000
2.960000E-7	-0.164000
3.040000E-7	-0.152000
3.120000E-7	-0.164000
3.200000E-7	-0.158000
3.280000E-7	-0.158000
3.360000E-7	-0.160000
3.440000E-7	-0.162000
3.520000E-7	-0.162000
3.600000E-7	-0.160000
3.680000E-7	-0.156000
3.760000E-7	-0.158000
3.840000E-7	-0.162000
3.920000E-7	-0.158000
4.000000E-7	-0.164000
4.080000E-7	0.138000
4.160000E-7	0.154000
4.240000E-7	0.154000
4.320000E-7	0.154000
4.400000E-7	0.148000
4.480000E-7	0.150000
4.560000E-7	0.148000
4.640000E-7	0.154000
4.720000E-7	0.150000
4.800000E-7	0.148000
4.880000E-7	0.152000
4.960000E-7	0.156000
5.040000E-7	0.150000
5.120000E-7	0.150000
5.200000E-7	0.146000
5.280000E-7	0.150000
5.360000E-7	0.154000
5.440000E-7	0.150000
5.520000E-7	0.144000
5.600000E-7	0.148000
5.680000E-7	0.156000
5.760000E-7	0.154000
5.840000E-7	0.150000
5.920000E-7	0.152000
6.000000E-7	0.148000
6.080000E-7	0.144000
6.160000E-7	0.146000
6.240000E-7	0.154000
6.320000E-7	0.152000
6.400000E-7	0.148000
6.480000E-7	0.150000
6.560000E-7	0.156000
6.640000E-7	0.144000
6.720000E-7	0.156000
6.800000E-7	0.148000
6.880000E-7	0.152000
6.960000E-7	0.152000
7.040000E-7	0.148000
7.120000E-7	0.148000
7.200000E-7	0.154000
7.280000E-7	0.148000
7.360000E-7	0.148000
7.440000E-7	0.154000
7.520000E-7	0.148000
7.600000E-7	0.148000
7.680000E-7	0.152000
7.760000E-7	0.148000
7.840000E-7	0.148000
7.920000E-7	0.152000
8.000000E-7	0.148000
8.080000E-7	0.148000
8.160000E-7	0.150000
8.240000E-7	0.156000
8.320000E-7	0.154000
8.400000E-7	0.154000
8.480000E-7	0.148000
8.560000E-7	0.148000
8.640000E-7	0.154000
8.720000E-7	0.154000
8.800000E-7	0.154000
8.880000E-7	0.150000
8.960000E-7	0.156000
9.040000E-7	0.112000
9.120000E-7	-0.160000
9.200000E-7	-0.162000
9.280000E-7	-0.162000
9.360000E-7	-0.162000
9.440000E-7	-0.154000
9.520000E-7	-0.162000
9.600000E-7	-0.150000
9.680000E-7	-0.158000
9.760000E-7	-0.156000
9.840000E-7	-0.162000
9.920000E-7	-0.158000
1.000000E-6	-0.154000
1.008000E-6	-0.160000
1.016000E-6	-0.156000
1.024000E-6	-0.164000
1.032000E-6	-0.156000
1.040000E-6	-0.154000
1.048000E-6	-0.156000
1.056000E-6	-0.160000
1.064000E-6	-0.158000
1.072000E-6	-0.156000
1.080000E-6	-0.154000
1.088000E-6	-0.156000
1.096000E-6	-0.154000
1.104000E-6	-0.158000
1.112000E-6	-0.158000
1.120000E-6	-0.164000
1.128000E-6	-0.158000
1.136000E-6	-0.156000
1.144000E-6	-0.162000
1.152000E-6	-0.162000
1.160000E-6	-0.158000
1.168000E-6	-0.162000
1.176000E-6	-0.160000
1.184000E-6	-0.156000
1.192000E-6	-0.158000
1.200000E-6	-0.156000
1.208000E-6	-0.160000
1.216000E-6	-0.156000
1.224000E-6	-0.154000
1.232000E-6	-0.152000
1.240000E-6	-0.158000
1.248000E-6	-0.158000
1.256000E-6	-0.158000
1.264000E-6	-0.154000
1.272000E-6	-0.152000
1.280000E-6	-0.156000
1.288000E-6	-0.154000
1.296000E-6	-0.160000
1.304000E-6	-0.162000
1.312000E-6	-0.160000
1.320000E-6	-0.162000
1.328000E-6	-0.154000
1.336000E-6	-0.158000
1.344000E-6	-0.158000
1.352000E-6	-0.160000
1.360000E-6	-0.162000
1.368000E-6	-0.160000
1.376000E-6	-0.160000
1.384000E-6	-0.164000
1.392000E-6	-0.156000
1.400000E-6	-0.158000
1.408000E-6	0.138000
1.416000E-6	0.152000
1.424000E-6	0.154000
1.432000E-6	0.154000
1.440000E-6	0.154000
1.448000E-6	0.152000
1.456000E-6	0.156000
1.464000E-6	0.154000
1.472000E-6	0.150000
1.480000E-6	0.154000
1.488000E-6	0.150000
1.496000E-6	0.154000
1.504000E-6	0.148000
1.512000E-6	0.146000
1.520000E-6	0.150000
1.528000E-6	0.152000
1.536000E-6	0.150000
1.544000E-6	0.148000
1.552000E-6	0.154000
1.560000E-6	0.146000
1.568000E-6	0.152000
1.576000E-6	0.154000
1.584000E-6	0.148000
1.592000E-6	0.150000
1.600000E-6	0.156000
1.608000E-6	0.154000
1.616000E-6	0.150000
1.624000E-6	0.150000
1.632000E-6	0.148000
1.640000E-6	0.150000
1.648000E-6	0.152000
1.656000E-6	0.148000
1.664000E-6	0.150000
1.672000E-6	0.154000
1.680000E-6	0.148000
1.688000E-6	0.150000
1.696000E-6	0.150000
1.704000E-6	0.152000
1.712000E-6	0.154000
1.720000E-6	0.148000
1.728000E-6	0.152000
1.736000E-6	0.156000
1.744000E-6	0.150000
1.752000E-6	0.152000
1.760000E-6	0.144000
1.768000E-6	0.156000
1.776000E-6	0.154000
1.784000E-6	0.146000
1.792000E-6	0.148000
1.800000E-6	0.160000
1.808000E-6	0.148000
1.816000E-6	0.154000
1.824000E-6	0.146000
1.832000E-6	0.150000
1.840000E-6	0.152000
1.848000E-6	0.150000
1.856000E-6	0.148000
1.864000E-6	0.156000
1.872000E-6	0.146000
1.880000E-6	0.154000
1.888000E-6	0.154000
1.896000E-6	0.146000
1.904000E-6	0.112000
1.912000E-6	-0.156000
1.920000E-6	-0.162000
1.928000E-6	-0.154000
1.936000E-6	-0.162000
1.944000E-6	-0.158000
1.952000E-6	-0.160000
1.960000E-6	-0.160000
1.968000E-6	-0.158000
1.976000E-6	-0.160000
1.984000E-6	-0.154000
1.992000E-6	-0.154000
2.000000E-6	-0.162000
2.008000E-6	-0.156000
2.016000E-6	-0.160000
2.024000E-6	-0.160000
2.032000E-6	-0.154000
2.040000E-6	-0.156000
2.048000E-6	-0.160000
2.056000E-6	-0.156000
2.064000E-6	-0.154000
2.072000E-6	-0.158000
2.080000E-6	-0.156000
2.088000E-6	-0.156000
2.096000E-6	-0.154000
2.104000E-6	-0.158000
2.112000E-6	-0.154000
2.120000E-6	-0.156000
2.128000E-6	-0.156000
2.136000E-6	-0.158000
2.144000E-6	-0.158000
2.152000E-6	-0.160000
2.160000E-6	-0.154000
2.168000E-6	-0.154000
2.176000E-6	-0.158000
2.184000E-6	-0.160000
2.192000E-6	-0.158000
2.200000E-6	-0.160000
2.208000E-6	-0.156000
2.216000E-6	-0.160000
2.224000E-6	-0.150000
2.232000E-6	-0.160000
2.240000E-6	-0.156000
2.248000E-6	-0.154000
2.256000E-6	-0.156000
2.264000E-6	-0.162000
2.272000E-6	-0.160000
2.280000E-6	-0.162000
