! 33.0000E+9;AUTO;0;0;0;DC;0.000000;0.0000;0;0.0000;40.0000E-3;50.0000;INTERN;0.0000;0.0000;0.0000;INIT;AUTO;PASS;1.0000;50.0000;OTH;"V";"TCA292D";"N/A";COM;0;0;1;1.0000;"V";20.0000E+9;"";1.0000;2.2000
33.0000E+9;AUTO;0;0;0;DC;0.000000;0.0000;0;160.0000E-3;100.0000E-3;50.0000;INTERN;0.0000;0.0000;0.0000;INIT;AUTO;PASS;1.0000;50.0000;OTH;"V";"TCA292D";"N/A";COM;0;0;1;1.0000;"V";20.0000E+9;"";1.0000;1.8000
33.0000E+9;AUTO;0;0;0;DC;0.000000;0.0000;0;-2.5400;6.2500E-3;50.0000;INTERN;0.0000;0.0000;0.0000;INIT;AUTO;PASS;1.0000;50.0000;OTH;"V";"TCA292D";"N/A";COM;0;0;1;1.0000;"V";20.0000E+9;"";1.0000;1.4000
33.0000E+9;AUTO;0;0;0;DC;0.000000;0.0000;0;0.0000;100.0000E-3;50.0000;INTERN;0.0000;0.0000;0.0000;INIT;AUTO;PASS;1.0000;50.0000;OTH;"V";"TCA292D";"N/A";COM;0;0;1;1.0000;"V";20.0000E+9;"";1.0000;1.0000

! Sampling frequency: 78.1250E+6

! AUTO
CH1
DC
RIS
-3.2000E-3

 
BEGIN SCOPE
% time(real)	ch1(real)	ch2(real)	ch3(real)	ch4(real)
1.280000E-8	-0.091200	-0.004000	0.000125	-0.004000
2.560000E-8	-0.104000	-0.008000	0.001125	0.000000
3.840000E-8	-0.107200	0.000000	-0.000625	-0.004000
5.120000E-8	-0.115200	-0.008000	-0.000625	-0.004000
6.400000E-8	-0.121600	-0.008000	0.000625	0.004000
7.680000E-8	-0.137600	0.000000	-0.001125	-0.012000
8.960000E-8	-0.136000	-0.004000	-0.000625	-0.004000
1.024000E-7	-0.145600	-0.004000	-0.001375	0.004000
1.152000E-7	-0.150400	-0.008000	0.000625	0.000000
1.280000E-7	-0.148800	0.000000	0.001625	-0.008000
1.408000E-7	-0.156800	-0.004000	-0.000625	-0.004000
1.536000E-7	-0.156800	-0.008000	-0.000375	-0.004000
1.664000E-7	-0.155200	-0.004000	0.000375	0.000000
1.792000E-7	-0.156800	0.004000	0.000125	-0.004000
1.920000E-7	-0.153600	-0.004000	0.001125	0.000000
2.048000E-7	-0.148800	-0.012000	-0.000125	0.000000
2.176000E-7	-0.147200	0.008000	0.000125	0.000000
2.304000E-7	-0.142400	-0.012000	0.000125	0.000000
2.432000E-7	-0.140800	0.000000	0.000875	0.008000
2.560000E-7	-0.132800	0.000000	0.001375	0.000000
2.688000E-7	-0.123200	-0.004000	-0.000125	0.000000
2.816000E-7	-0.115200	-0.004000	-0.002125	-0.004000
2.944000E-7	-0.107200	-0.004000	-0.000625	-0.008000
3.072000E-7	-0.097600	-0.008000	-0.003625	-0.004000
3.200000E-7	-0.091200	-0.004000	-0.000375	0.000000
3.328000E-7	-0.076800	-0.008000	-0.001625	-0.004000
3.456000E-7	-0.065600	0.004000	-0.000375	-0.004000
3.584000E-7	-0.052800	-0.004000	0.000125	-0.004000
3.712000E-7	-0.043200	0.000000	-0.000375	0.000000
3.840000E-7	-0.033600	-0.004000	-0.000375	-0.004000
3.968000E-7	-0.017600	-0.008000	-0.000625	-0.008000
4.096000E-7	-0.009600	0.008000	-0.000625	-0.004000
4.224000E-7	0.006400	-0.016000	0.000875	0.000000
4.352000E-7	0.012800	0.004000	-0.001125	-0.004000
4.480000E-7	0.028800	-0.012000	-0.000625	0.008000
4.608000E-7	0.041600	0.004000	-0.002125	0.004000
4.736000E-7	0.051200	-0.004000	-0.000375	0.000000
4.864000E-7	0.067200	-0.004000	-0.000875	0.000000
4.992000E-7	0.070400	-0.008000	-0.001875	-0.004000
5.120000E-7	0.084800	-0.004000	-0.000625	-0.004000
5.248000E-7	0.100800	-0.016000	-0.000875	-0.004000
5.376000E-7	0.107200	-0.004000	-0.000625	0.000000
5.504000E-7	0.118400	0.004000	0.000625	-0.008000
5.632000E-7	0.118400	-0.008000	0.000125	-0.004000
5.760000E-7	0.123200	-0.012000	-0.000875	0.000000
5.888000E-7	0.137600	0.000000	-0.001375	0.000000
6.016000E-7	0.137600	0.000000	-0.000125	-0.004000
6.144000E-7	0.140800	-0.012000	-0.001125	0.000000
6.272000E-7	0.147200	-0.008000	0.000125	0.000000
6.400000E-7	0.145600	-0.008000	-0.000125	-0.004000
6.528000E-7	0.150400	-0.008000	-0.000875	0.000000
6.656000E-7	0.152000	-0.008000	0.000375	0.000000
6.784000E-7	0.147200	-0.016000	-0.000625	-0.008000
6.912000E-7	0.150400	-0.008000	-0.001125	0.004000
7.040000E-7	0.148800	-0.008000	0.001125	0.004000
7.168000E-7	0.140800	-0.008000	0.000125	-0.008000
7.296000E-7	0.139200	0.000000	0.000625	-0.008000
7.424000E-7	0.126400	-0.004000	-0.001125	-0.008000
7.552000E-7	0.129600	-0.004000	0.000125	-0.008000
7.680000E-7	0.121600	-0.012000	-0.000625	0.000000
7.808000E-7	0.108800	-0.004000	-0.001375	0.000000
7.936000E-7	0.100800	-0.008000	0.001125	-0.004000
8.064000E-7	0.097600	0.000000	-0.000375	-0.004000
8.192000E-7	0.084800	-0.004000	0.001125	-0.004000
8.320000E-7	0.072000	0.000000	-0.000125	0.000000
8.448000E-7	0.062400	0.004000	-0.000625	-0.004000
8.576000E-7	0.049600	-0.008000	-0.000875	0.004000
8.704000E-7	0.040000	-0.008000	-0.000625	-0.004000
8.832000E-7	0.024000	-0.016000	-0.001125	-0.004000
8.960000E-7	0.014400	-0.012000	-0.000375	-0.004000
9.088000E-7	0.001600	-0.012000	-0.000875	0.004000
9.216000E-7	-0.011200	-0.016000	-0.000875	0.000000
9.344000E-7	-0.025600	-0.004000	0.000875	0.000000
9.472000E-7	-0.035200	-0.004000	-0.000875	-0.004000
9.600000E-7	-0.046400	0.000000	-0.001625	0.000000
9.728000E-7	-0.052800	-0.004000	-0.000625	0.000000
9.856000E-7	-0.070400	0.000000	-0.000375	0.000000
9.984000E-7	-0.076800	-0.004000	-0.000375	0.000000
